competition_name,season_name,competition_short,tournament_id,team,player,position,position_x,position_y,starts,jersey_number,position_order,position_group,general_role,offensive_role,defensive_role,importance_score,importance_tier,strengths,weaknesses,best_role_fits,best_role_fit_scores,role_adjusted_importance_score,xi_number,xi_label,xi_role_label,starts_share
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Anthony Louis Mandréa,Goalkeeper,8.0,40.0,3,16,1,Goalkeeper,Goalkeeper,Build-Up Goalkeeper,Goal Prevention,47.74,Low Usage / Limited Impact,['Active in recoveries'],"['Low clearance activity', 'Limited shot-stopping event volume']","Tempo Controller, Ball Winner, Progressive Carrier","59.3, 49.5, 38.5",47.74,1,1. Anthony Louis Mandréa | Goalkeeper,Goalkeeper | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Youcef Atal,Right Back,28.0,68.0,3,20,2,Defender,Tempo Controller,High-Volume Passer,Balanced Defensive Role,73.25,Important Player,"['High passing involvement', 'High carry volume']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Ball Winner","86.0, 82.8, 77.6",73.25,2,2. Youcef Atal | Right Back,Tempo Controller | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Aïssa Mandi,Right Center Back,25.0,52.0,3,2,3,Defender,Tempo Controller,High-Volume Passer,Balanced Defensive Role,75.95,Important Player,"['High passing involvement', 'Strong passing accuracy', 'High carry volume']",['Low pressing activity'],"Progressive Carrier, Tempo Controller, Box Threat","99.3, 97.3, 75.4",75.95,3,3. Aïssa Mandi | Right Center Back,Tempo Controller | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramy Bensebaini,Left Center Back,25.0,28.0,2,21,5,Defender,Tempo Controller,High-Volume Passer,Ball Winner,72.86,Important Player,"['High passing involvement', 'Strong passing accuracy', 'High carry volume', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Ball Winner","98.5, 93.7, 87.3",72.86,4,4. Ramy Bensebaini | Left Center Back,Tempo Controller | Important Player,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Rayan Aït Nouri,Left Back,28.0,12.0,3,15,6,Defender,Tempo Controller,High-Volume Passer,Ball Winner,87.85,Key Player,"['High passing involvement', 'High carry volume', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Ball Winner","99.6, 91.2, 86.2",87.85,5,5. Rayan Aït Nouri | Left Back,Tempo Controller | Key Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramiz Larbi Zerrouki,Center Defensive Midfield,45.0,40.0,1,6,10,Midfielder,Tempo Controller,High-Volume Passer,Ball Winner,72.57,Important Player,"['High passing involvement', 'High carry volume', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Ball Winner","93.6, 86.0, 78.3",72.57,6,6. Ramiz Larbi Zerrouki | Center Defensive Midfield,Tempo Controller | Important Player,33.33
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Hichem Boudaoui,Right Center Midfield,60.0,52.0,1,14,12,Midfielder,Box Threat,Finisher / Shot Threat,Balanced Defensive Role,67.92,Important Player,"['High shot volume', 'Strong passing accuracy']",['No clear major weakness from selected indicators'],"Box Threat, Progressive Carrier, Tempo Controller","90.5, 77.6, 72.3",67.92,7,7. Hichem Boudaoui | Right Center Midfield,Box Threat | Important Player,33.33
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,60.0,28.0,1,22,14,Midfielder,Progressive Carrier,High-Volume Passer,Balanced Defensive Role,72.47,Important Player,"['High passing involvement', 'High carry volume']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Balanced Role","86.8, 75.3, 65.4",72.47,8,8. Ismael Bennacer | Left Center Midfield,Progressive Carrier | Important Player,33.33
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Riyad Mahrez,Right Wing,88.0,68.0,2,7,20,Forward,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,52.59,Rotation / Contributor,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Ball Winner, Progressive Carrier, Tempo Controller","68.6, 63.4, 55.3",52.59,9,9. Riyad Mahrez | Right Wing,Balanced Role | Rotation / Contributor,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Youcef Belaïli,Left Wing,88.0,12.0,2,8,21,Forward,Box Threat,Finisher / Shot Threat,Balanced Defensive Role,76.89,Important Player,"['High shot volume', 'High passing involvement', 'High carry volume']",['No clear major weakness from selected indicators'],"Box Threat, Progressive Carrier, Balanced Role","91.8, 86.8, 71.6",76.89,10,10. Mohamed Youcef Belaïli | Left Wing,Box Threat | Important Player,66.67
